,Unnamed: 0,Academy_Name,Class_Names,Day_1,Day_2,Time_1,Time_2,Genre,Link,Place,Contact,NumOfClass,District,Img
0,0,Def_Dance,Professional Class ,WeekDay,MON.WED.FRI,Afternoon,pm 1:30 ~ 3:00,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,3,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
1,1,Def_Dance,Girls K-pop Basics,WeekDay,MON.WED.FRI,Afternoon,pm 3:00 ~ 4:30,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,3,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
2,2,Def_Dance,HipHop Basics,WeekDay,MON.WED.FRI,Afternoon,pm 4:30 ~ 6:00,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,3,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
3,3,Def_Dance,Girls K-pop Basics,WeekDay,MON.WED.FRI,Night,pm 6:00 ~ 7:30,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,3,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
4,4,Def_Dance,Newest K-pop Basics,WeekDay,MON.WED.FRI,Night,pm 7:30 ~ 9:00,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,3,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
5,5,Def_Dance,HipHop Basics,WeekDay,MON.WED.FRI,Night,pm 9:00 ~ 10:30,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,3,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
6,6,Def_Dance,Professional Class ,Weekday,TUE.THU ,Afternoon,pm 1:30 ~ 3:00,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
7,7,Def_Dance,Girls K-pop Basics,Weekday,TUE.THU ,Afternoon,pm 3:00 ~ 4:30,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
8,8,Def_Dance,Girls HipHop Basics,Weekday,TUE.THU ,Afternoon,pm 4:30 ~ 6:00,Girls-HipHop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
9,9,Def_Dance,HipHop Basics,Weekday,TUE.THU ,Night,pm 6:00 ~ 7:30,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
10,10,Def_Dance,Girls HipHop Basics,Weekday,TUE.THU ,Night,pm 7:30 ~ 9:00,Girls-HipHop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
11,11,Def_Dance,Professional Class ,Weekday,TUE.THU ,Night,pm 9:00 ~ 10:30,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
12,12,Def_Dance,IDOL Class,Weekends,SAT.SUN,Afternoon,pm 1:30 ~ 3:00,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
13,13,Def_Dance,Professional Class ,Weekends,SAT.SUN,Afternoon,pm 3:00 ~ 4:30,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
14,14,Def_Dance,HipHop Basics,Weekends,SAT.SUN,Afternoon,pm 4:30 ~ 6:00,Hip-Pop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
